NAME,GEO_ID,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,state,county,tract,block group,Pop_65_Plus,Pop_75_Plus
"Block Group 5, Census Tract 102, Salem city, Virginia",517750102005,483,0,20,16,13,0,64,0,0,0,0,14,72,0,66,0,8,35,64,0,15,0,33,63,447,0,26,0,0,12,0,0,0,15,0,71,12,0,0,0,103,18,27,0,15,40,29,79,51,775,10200,5,365,244
"Block Group 1, Census Tract 103, Salem city, Virginia",517750103001,697,9,0,28,25,72,0,16,75,194,20,28,4,44,5,29,12,7,7,29,63,3,0,27,373,9,0,0,0,0,0,22,43,146,0,56,0,15,14,26,7,3,4,0,16,6,0,6,51,775,10300,1,161,42
"Block Group 2, Census Tract 103, Salem city, Virginia",517750103002,424,34,37,9,0,0,0,9,0,34,78,29,6,14,13,47,20,10,15,54,15,0,0,0,733,0,80,35,20,20,0,120,0,69,142,15,0,0,83,36,0,0,24,8,0,32,18,31,51,775,10300,2,197,81
"Block Group 3, Census Tract 103, Salem city, Virginia",517750103003,759,12,26,48,10,5,0,0,13,30,22,81,17,51,82,80,6,18,41,31,66,42,35,43,930,37,29,46,23,0,0,0,0,34,57,27,55,43,73,58,9,46,26,43,73,82,15,154,51,775,10300,3,651,371
"Block Group 4, Census Tract 103, Salem city, Virginia",517750103004,386,32,43,21,16,9,0,0,17,31,90,13,0,30,0,67,0,8,9,0,0,0,0,0,540,45,41,58,0,0,0,0,37,64,48,39,30,26,8,22,7,26,0,0,32,39,18,0,51,775,10300,4,98,57
"Block Group 1, Census Tract 105.01, Salem city, Virginia",517750105011,138,0,0,0,0,0,0,0,19,0,21,0,0,4,9,22,0,3,6,7,10,32,0,5,398,0,0,0,0,0,0,4,0,0,41,5,15,9,34,13,0,7,36,12,36,41,28,117,51,775,10501,1,330,223
"Block Group 3, Census Tract 105.01, Salem city, Virginia",517750105013,485,56,16,28,0,21,0,5,0,10,15,0,66,5,51,24,3,38,9,61,33,8,8,28,620,57,25,9,8,24,0,36,24,0,36,18,34,23,80,53,19,14,23,47,35,25,29,1,51,775,10501,3,307,99
"Block Group 1, Census Tract 105.02, Salem city, Virginia",517750105021,614,89,23,105,0,0,0,9,25,19,29,11,25,51,41,21,8,21,22,11,41,33,14,16,590,19,30,22,26,8,0,0,54,9,0,42,52,71,0,44,8,48,20,37,53,9,23,15,51,775,10502,1,294,110
"Block Group 3, Census Tract 105.02, Salem city, Virginia",517750105023,603,29,43,38,7,0,0,0,35,49,71,31,86,25,75,30,7,0,11,0,10,40,16,0,884,155,134,23,4,19,0,0,0,146,44,11,34,101,26,59,70,0,0,16,32,10,0,0,51,775,10502,3,135,66
"Block Group 4, Census Tract 105.02, Salem city, Virginia",517750105024,692,22,48,53,24,15,0,0,13,34,20,23,56,54,9,24,46,32,43,0,30,110,14,22,818,4,69,47,75,0,0,0,0,17,23,12,62,49,138,114,10,28,0,9,52,85,17,7,51,775,10502,4,389,255
"Block Group 1, Census Tract 2, Staunton city, Virginia",517900002001,622,58,9,106,33,0,0,0,19,48,49,78,0,6,21,65,12,0,96,0,22,0,0,0,587,7,87,26,4,0,9,0,52,33,27,142,40,9,19,48,29,24,0,9,22,0,0,0,51,790,200,1,149,0
"Block Group 2, Census Tract 2, Staunton city, Virginia",517900002002,404,15,18,0,9,0,0,11,12,17,85,33,22,55,46,19,7,9,19,0,17,0,0,10,359,20,23,23,0,10,0,11,15,31,14,29,0,27,31,58,34,0,10,16,0,7,0,0,51,790,200,2,79,17
"Block Group 4, Census Tract 2, Staunton city, Virginia",517900002004,572,43,49,31,34,0,0,0,24,11,31,130,52,21,0,25,16,8,10,0,51,27,0,9,694,77,35,38,37,0,0,7,10,61,43,34,24,75,14,30,13,32,17,0,33,42,63,9,51,790,200,4,261,150
"Block Group 1, Census Tract 3, Staunton city, Virginia",517900003001,398,0,0,59,74,0,0,0,0,11,31,0,4,17,56,61,0,20,0,14,0,12,27,12,654,0,0,4,46,0,0,0,0,0,81,0,50,66,40,66,0,0,35,155,39,26,12,34,51,790,300,1,366,123
"Block Group 3, Census Tract 3, Staunton city, Virginia",517900003003,464,67,0,39,0,0,0,0,99,33,0,0,16,0,0,82,0,35,16,41,0,0,22,14,634,58,80,17,0,0,0,0,0,123,0,0,43,10,22,113,37,11,0,13,69,0,12,26,51,790,300,3,213,74
"Block Group 4, Census Tract 3, Staunton city, Virginia",517900003004,814,26,21,49,2,27,0,0,53,43,36,69,92,62,150,44,0,16,43,17,46,15,3,0,851,13,41,17,23,0,53,22,11,59,63,64,39,68,84,71,45,16,37,43,52,16,0,14,51,790,300,4,286,48
"Block Group 1, Census Tract 4.01, Staunton city, Virginia",517900004011,683,0,80,23,30,0,0,0,24,55,34,73,45,48,64,57,0,27,0,14,13,51,0,45,752,0,71,97,7,0,0,0,38,34,38,90,14,59,44,26,0,35,11,12,62,45,12,57,51,790,401,1,322,210
"Block Group 3, Census Tract 4.01, Staunton city, Virginia",517900004013,427,59,50,7,0,0,0,0,0,19,11,79,0,48,10,55,0,10,10,0,61,0,0,8,795,31,0,59,76,0,7,27,0,114,40,0,41,22,109,65,0,24,0,26,69,28,45,12,51,790,401,3,259,93
"Block Group 1, Census Tract 4.02, Staunton city, Virginia",517900004021,759,80,35,0,74,0,0,0,21,79,51,57,34,57,0,11,11,37,38,14,27,120,0,13,880,44,36,54,7,0,15,0,17,21,41,37,86,42,44,88,30,43,12,27,107,23,12,94,51,790,402,1,487,262
"Block Group 1, Census Tract 5, Staunton city, Virginia",517900005001,554,14,8,18,9,0,0,0,21,60,18,0,0,50,51,145,6,21,39,37,22,0,5,30,417,17,16,12,19,0,0,0,27,20,33,0,0,0,36,112,15,19,20,0,13,0,9,49,51,790,500,1,224,93
"Block Group 2, Census Tract 5, Staunton city, Virginia",517900005002,434,14,19,24,13,0,31,0,15,17,44,49,0,37,39,27,9,17,6,12,10,13,12,26,582,50,0,0,0,63,0,0,2,20,28,17,39,23,22,61,19,0,5,48,33,24,53,75,51,790,500,2,317,203
"Block Group 1, Census Tract 6, Staunton city, Virginia",517900006001,823,31,53,43,24,37,32,0,0,71,32,34,43,75,63,100,18,30,2,6,48,37,44,0,1001,109,37,19,0,22,15,21,8,74,49,65,136,31,53,107,0,33,11,86,67,37,0,21,51,790,600,1,359,139
"Block Group 2, Census Tract 6, Staunton city, Virginia",517900006002,1121,36,61,103,92,46,0,0,68,36,78,79,54,32,81,138,49,18,25,81,19,18,7,0,1364,42,48,108,48,46,7,32,48,23,83,118,132,148,100,95,14,20,23,82,52,45,23,27,51,790,600,2,402,120
"Block Group 2, Census Tract 651, Suffolk city, Virginia",518000651002,738,61,72,46,9,0,12,0,64,54,162,37,5,15,85,0,16,21,5,16,19,17,22,0,1029,79,74,96,51,23,0,0,82,182,104,9,27,57,53,34,32,37,14,21,25,7,5,17,51,800,65100,2,168,68
"Block Group 1, Census Tract 652, Suffolk city, Virginia",518000652001,557,32,35,69,5,21,0,44,0,57,26,36,82,24,6,41,0,27,13,11,23,0,5,0,548,5,37,35,9,8,5,24,0,90,23,42,9,88,5,26,6,17,19,25,47,9,11,8,51,800,65200,1,171,33
"Block Group 1, Census Tract 653.01, Suffolk city, Virginia",518000653011,366,26,30,47,0,9,0,6,18,0,0,8,26,44,0,9,103,4,15,0,7,0,9,5,512,127,0,0,0,0,56,0,0,53,28,54,37,0,0,16,48,0,49,0,35,1,0,8,51,800,65301,1,129,23
"Block Group 2, Census Tract 653.01, Suffolk city, Virginia",518000653012,293,30,0,0,0,0,0,0,6,0,37,0,37,0,105,12,6,12,15,10,10,13,0,0,401,9,14,12,0,6,0,0,0,0,65,0,0,18,13,98,0,8,29,66,24,0,23,16,51,800,65301,2,206,52
"Block Group 2, Census Tract 653.02, Suffolk city, Virginia",518000653022,614,57,9,61,79,44,19,0,0,17,52,33,61,16,59,41,5,29,0,12,3,17,0,0,575,61,26,97,32,0,0,0,3,24,0,29,45,28,55,59,26,38,15,0,16,21,0,0,51,800,65302,2,84,38
"Block Group 1, Census Tract 654.01, Suffolk city, Virginia",518000654011,355,11,0,49,31,33,0,11,14,28,0,0,35,0,69,0,26,23,0,21,4,0,0,0,408,52,3,13,48,0,0,0,17,36,16,44,29,25,17,74,0,0,12,5,0,0,8,9,51,800,65401,1,59,17
"Block Group 3, Census Tract 654.01, Suffolk city, Virginia",518000654013,261,39,0,0,0,0,0,0,0,44,0,57,40,6,0,55,1,0,0,19,0,0,0,0,209,46,0,0,7,0,0,0,0,70,0,12,0,0,0,40,0,34,0,0,0,0,0,0,51,800,65401,3,19,0
"Block Group 1, Census Tract 654.02, Suffolk city, Virginia",518000654021,487,0,44,45,61,37,0,0,0,64,44,49,0,9,13,28,25,22,13,0,10,0,23,0,783,21,51,135,126,36,0,13,17,0,28,97,24,21,13,78,0,24,0,24,15,41,0,19,51,800,65402,1,145,83
"Block Group 2, Census Tract 655, Suffolk city, Virginia",518000655002,121,0,0,28,11,0,0,0,0,42,0,0,0,24,0,0,10,0,6,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,25,0,0,9,10,0,9,51,800,65500,2,34,19
"Block Group 4, Census Tract 655, Suffolk city, Virginia",518000655004,290,55,14,38,0,0,0,32,0,0,16,38,17,0,0,42,15,0,0,16,7,0,0,0,592,32,29,0,11,16,0,45,43,19,0,151,0,12,0,90,48,13,19,0,64,0,0,0,51,800,65500,4,106,0
"Block Group 1, Census Tract 751.03, Suffolk city, Virginia",518000751031,507,105,32,21,24,31,0,0,98,61,54,37,27,0,0,5,0,0,0,0,12,0,0,0,643,143,0,132,21,0,0,0,39,74,11,30,95,0,63,0,0,5,0,0,30,0,0,0,51,800,75103,1,42,0
"Block Group 1, Census Tract 751.04, Suffolk city, Virginia",518000751041,987,56,35,40,32,12,0,0,13,20,70,44,37,141,29,101,6,83,32,79,64,61,0,32,1053,33,27,134,15,55,17,0,0,19,18,33,93,52,62,118,45,76,69,50,54,23,14,46,51,800,75104,1,524,176
"Block Group 2, Census Tract 751.04, Suffolk city, Virginia",518000751042,186,0,0,40,0,21,0,0,59,17,0,0,39,10,0,0,0,0,0,0,0,0,0,0,301,0,0,26,0,24,18,0,25,0,79,57,22,50,0,0,0,0,0,0,0,0,0,0,51,800,75104,2,0,0
"Block Group 2, Census Tract 751.05, Suffolk city, Virginia",518000751052,992,7,124,54,68,9,22,30,8,0,37,37,71,97,72,42,52,45,36,29,114,19,19,0,851,32,6,85,23,10,0,0,70,0,3,34,86,125,58,59,82,16,34,60,28,17,12,11,51,800,75105,2,379,78
"Block Group 1, Census Tract 751.06, Suffolk city, Virginia",518000751061,590,13,73,6,70,0,0,0,57,0,58,102,18,0,96,42,0,37,1,17,0,0,0,0,1055,59,50,163,27,66,0,25,0,0,75,105,0,103,238,30,30,24,0,4,17,0,39,0,51,800,75106,1,78,39
"Block Group 1, Census Tract 109.04, Albemarle County, Virginia",510030109041,832,0,0,0,0,555,118,104,31,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,655,0,0,0,11,431,99,76,30,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,51,3,10904,1,0,0
"Block Group 2, Census Tract 109.04, Albemarle County, Virginia",510030109042,2295,45,38,116,46,1098,176,168,132,196,84,47,25,27,10,7,30,30,6,2,10,0,2,0,2056,26,58,0,48,1265,207,75,121,40,99,12,24,17,30,3,3,0,13,0,6,0,8,1,51,3,10904,2,48,11
"Block Group 1, Census Tract 110, Albemarle County, Virginia",510030110001,536,19,16,30,57,0,0,0,0,18,16,17,18,14,27,60,35,50,0,74,24,31,30,0,565,21,45,17,17,0,42,0,0,0,0,17,17,31,32,109,45,67,13,11,50,31,0,0,51,3,11000,1,264,92
"Block Group 2, Census Tract 110, Albemarle County, Virginia",510030110002,485,0,50,0,0,4,0,2,1,58,0,87,17,75,0,25,15,41,15,0,24,42,15,14,597,0,38,29,75,4,2,0,17,20,0,29,54,21,32,41,17,0,12,1,51,86,48,20,51,3,11000,2,328,225
"Block Group 4, Census Tract 110, Albemarle County, Virginia",510030110004,686,0,73,35,0,0,0,0,102,70,0,50,33,97,18,0,19,66,15,48,19,12,29,0,918,40,32,44,14,4,0,0,0,65,0,45,43,19,15,98,66,125,18,188,87,0,15,0,51,3,11000,4,431,56
"Block Group 5, Census Tract 110, Albemarle County, Virginia",510030110005,687,92,189,63,0,6,0,0,0,10,0,19,44,68,0,12,0,14,40,0,41,75,14,0,490,19,0,60,0,0,0,0,0,0,10,19,130,37,32,19,0,9,27,40,0,71,0,17,51,3,11000,5,325,177
"Block Group 2, Census Tract 111.01, Albemarle County, Virginia",510030111012,230,18,50,11,0,0,0,0,0,6,28,19,11,3,0,5,47,12,0,0,20,0,0,0,262,0,0,2,16,0,0,0,0,7,82,0,12,7,15,12,0,45,26,0,18,0,0,20,51,3,11101,2,84,20
"Block Group 3, Census Tract 111.01, Albemarle County, Virginia",510030111013,123,0,23,0,0,18,0,0,0,0,0,0,25,4,0,0,13,15,5,0,10,5,5,0,246,49,24,0,0,0,0,0,0,0,0,62,0,10,16,0,49,5,0,4,27,0,0,0,51,3,11101,3,56,10
"Block Group 2, Census Tract 111.02, Albemarle County, Virginia",510030111022,631,20,41,122,25,4,0,0,0,10,0,41,23,99,16,7,0,27,0,120,47,0,9,20,618,6,47,45,27,66,0,3,0,0,0,53,53,140,3,61,9,5,0,0,71,29,0,0,51,3,11102,2,296,58
"Block Group 1, Census Tract 111.03, Albemarle County, Virginia",510030111031,483,19,64,38,80,0,0,0,0,0,0,0,112,19,11,30,0,0,0,50,12,0,48,0,455,40,16,38,45,0,0,0,0,0,12,64,18,59,63,8,0,0,0,54,24,0,14,0,51,3,11103,1,202,62
"Block Group 3, Census Tract 111.03, Albemarle County, Virginia",510030111033,397,30,0,79,18,0,0,0,0,0,27,0,59,33,89,34,0,0,0,24,4,0,0,0,544,0,66,26,99,0,0,0,31,0,16,34,44,79,31,22,27,3,0,13,53,0,0,0,51,3,11103,3,94,0
"Block Group 4, Census Tract 111.03, Albemarle County, Virginia",510030111034,254,0,30,78,0,18,0,0,0,0,0,0,17,33,53,0,0,12,0,0,0,13,0,0,277,0,17,98,0,30,0,0,0,0,0,33,0,22,46,0,0,8,0,12,11,0,0,0,51,3,11103,4,36,13
"Block Group 5, Census Tract 111.03, Albemarle County, Virginia",510030111035,338,1,29,52,14,0,0,0,0,26,35,0,99,0,26,4,0,0,0,0,11,0,0,41,379,0,0,80,0,0,0,0,0,14,47,30,94,0,28,4,0,2,0,0,11,13,0,56,51,3,11103,5,132,110
"Block Group 1, Census Tract 112.01, Albemarle County, Virginia",510030112011,602,52,0,49,51,29,0,0,25,36,0,0,89,20,68,49,29,32,13,20,14,26,0,0,670,10,95,24,48,0,26,0,22,7,21,19,63,18,57,89,35,18,18,22,62,16,0,0,51,3,11201,1,191,42
"Block Group 2, Census Tract 112.01, Albemarle County, Virginia",510030112012,513,0,0,10,43,0,0,9,54,0,22,0,0,57,86,38,9,109,0,8,30,11,10,17,597,24,20,17,27,18,7,0,0,34,5,19,43,24,98,34,22,53,24,34,32,43,19,0,51,3,11201,2,228,100
"Block Group 3, Census Tract 112.01, Albemarle County, Virginia",510030112013,972,49,71,110,65,0,0,10,39,2,51,49,91,80,50,110,6,41,6,60,31,33,18,0,1034,151,45,5,70,0,0,14,39,39,104,47,62,53,86,71,16,14,56,52,61,49,0,0,51,3,11201,3,366,100
"Block Group 1, Census Tract 112.02, Albemarle County, Virginia",510030112021,297,14,33,59,12,7,8,0,0,0,0,17,26,49,15,16,32,0,0,9,0,0,0,0,341,11,65,82,0,0,0,0,0,0,8,8,41,30,19,10,22,13,0,9,23,0,0,0,51,3,11202,1,41,0
"Block Group 2, Census Tract 112.02, Albemarle County, Virginia",510030112022,418,0,0,15,12,0,0,0,14,0,40,0,25,36,74,32,7,18,64,0,51,27,3,0,397,4,0,19,7,0,0,0,7,0,8,18,36,17,51,14,35,14,10,10,78,11,11,47,51,3,11202,2,312,99
"Block Group 3, Census Tract 112.02, Albemarle County, Virginia",510030112023,513,17,18,36,40,13,0,0,8,24,51,17,29,64,53,21,25,16,17,6,17,20,11,10,613,34,85,11,19,12,0,6,9,19,8,55,44,86,31,69,0,26,18,10,28,10,21,12,51,3,11202,3,180,84
"Block Group 4, Census Tract 112.02, Albemarle County, Virginia",510030112024,465,50,23,47,13,0,0,0,9,7,21,29,93,11,8,50,0,8,17,8,29,33,0,9,511,19,19,62,6,0,0,0,0,11,5,26,56,40,0,25,9,67,19,27,32,34,31,23,51,3,11202,4,262,130
"Block Group 1, Census Tract 113.01, Albemarle County, Virginia",510030113011,392,9,44,0,1,10,0,0,22,10,0,71,34,0,53,34,0,11,13,69,11,0,0,0,420,28,81,6,0,0,0,0,0,11,49,29,25,0,60,61,0,9,0,24,16,0,21,0,51,3,11301,1,154,21
"Block Group 2, Census Tract 113.01, Albemarle County, Virginia",510030113012,523,8,47,20,13,14,0,0,0,61,13,43,10,53,70,51,12,11,0,14,47,0,36,0,570,14,17,15,48,2,44,0,12,50,73,11,0,43,122,29,14,17,0,0,0,22,0,37,51,3,11301,2,156,95
"Block Group 3, Census Tract 113.01, Albemarle County, Virginia",510030113013,961,5,9,44,33,7,20,0,20,71,86,26,80,65,146,66,68,79,0,47,55,14,6,14,989,144,21,0,5,11,0,0,0,104,62,51,61,17,107,121,79,118,43,0,26,19,0,0,51,3,11301,3,224,53
"Block Group 4, Census Tract 113.01, Albemarle County, Virginia",510030113014,307,0,0,21,10,0,0,0,35,11,80,0,0,12,45,0,0,58,11,0,4,20,0,0,250,0,22,43,0,0,0,13,11,14,12,0,13,20,42,33,0,0,15,0,0,12,0,0,51,3,11301,4,62,32
"Block Group 5, Census Tract 113.01, Albemarle County, Virginia",510030113015,610,44,11,0,0,0,0,0,38,0,102,60,0,39,8,24,47,0,37,47,112,0,41,0,361,0,0,0,10,9,0,0,0,0,56,60,0,0,26,68,0,59,12,11,10,10,30,0,51,3,11301,5,310,81
"Block Group 1, Census Tract 113.02, Albemarle County, Virginia",510030113021,448,14,0,0,0,5,11,0,99,136,66,19,12,8,9,8,5,19,0,29,8,0,0,0,502,0,0,0,0,19,0,0,185,49,139,37,0,29,5,29,0,0,0,0,2,0,8,0,51,3,11302,1,47,8
"Block Group 3, Census Tract 113.02, Albemarle County, Virginia",510030113023,556,0,0,0,0,16,162,0,12,195,45,126,0,0,0,0,0,0,0,0,0,0,0,0,678,70,0,0,0,97,47,59,234,11,24,136,0,0,0,0,0,0,0,0,0,0,0,0,51,3,11302,3,0,0
"Block Group 4, Census Tract 113.02, Albemarle County, Virginia",510030113024,496,109,62,0,5,0,0,0,0,29,142,68,0,16,14,21,6,0,0,8,8,0,0,8,527,38,23,35,0,35,0,0,103,97,83,25,0,11,39,19,2,0,17,0,0,0,0,0,51,3,11302,4,41,8
"Block Group 2, Census Tract 113.03, Albemarle County, Virginia",510030113032,1408,86,63,49,60,37,37,10,52,152,118,72,177,85,85,72,25,101,33,22,47,17,8,0,1163,68,71,120,35,17,0,9,34,43,108,52,99,94,63,64,32,79,26,43,51,30,16,9,51,3,11303,2,302,80
"Block Group 1, Census Tract 114, Albemarle County, Virginia",510030114001,373,14,2,25,26,6,7,0,21,25,43,14,7,36,31,17,5,11,22,4,23,8,17,9,560,46,45,33,0,23,0,0,46,60,16,10,23,12,40,28,23,16,0,15,18,91,15,0,51,3,11400,1,222,140
"Block Group 3, Census Tract 114, Albemarle County, Virginia",510030114003,1088,62,40,143,37,0,45,0,73,29,21,84,86,84,85,72,0,38,22,46,21,15,49,36,1198,67,47,98,104,22,0,0,22,15,52,44,104,16,150,173,35,0,39,27,0,117,64,2,51,3,11400,3,438,283
"Block Group 4, Census Tract 114, Albemarle County, Virginia",510030114004,683,60,41,40,49,19,0,0,36,9,29,26,23,39,143,24,59,0,3,26,33,4,8,12,697,5,10,7,21,0,0,31,23,4,99,40,52,104,39,78,46,0,25,56,25,14,8,10,51,3,11400,4,224,56
"Block Group 2, Census Tract 701, Alleghany County, Virginia",510050701002,769,24,62,156,0,40,0,25,41,93,34,25,32,7,71,36,46,7,0,8,21,10,0,31,595,19,41,0,46,0,10,0,13,82,9,10,33,78,17,34,22,61,23,8,31,43,7,8,51,5,70100,2,190,99
"Block Group 3, Census Tract 701, Alleghany County, Virginia",510050701003,392,22,95,0,0,0,0,0,5,29,0,59,25,9,32,29,0,12,9,35,9,0,11,11,466,40,5,53,25,0,0,0,0,25,29,91,3,46,19,33,0,25,16,8,31,8,0,9,51,5,70100,3,147,39
"Block Group 1, Census Tract 801, Alleghany County, Virginia",510050801001,797,20,10,8,43,23,14,0,29,119,55,29,22,16,26,29,69,98,35,11,57,47,37,0,736,28,30,29,15,0,76,0,20,42,37,16,24,22,38,73,33,48,16,70,26,45,35,13,51,5,80100,1,392,177
"Block Group 2, Census Tract 801, Alleghany County, Virginia",510050801002,332,20,2,27,2,8,0,12,5,13,7,9,40,12,18,53,22,0,0,14,9,18,35,6,496,11,3,16,29,0,0,1,0,10,6,54,17,17,12,74,0,17,17,3,115,23,12,59,51,5,80100,2,311,153
"Block Group 1, Census Tract 802.01, Alleghany County, Virginia",510050802011,673,48,52,39,9,6,0,0,18,24,38,11,8,46,77,96,10,13,7,68,33,10,19,41,716,5,35,0,27,33,0,8,18,16,21,34,26,76,122,63,0,49,11,60,37,17,25,33,51,5,80201,1,361,145
"Block Group 2, Census Tract 802.01, Alleghany County, Virginia",510050802012,589,47,40,26,32,19,22,9,19,15,15,0,19,59,36,54,21,28,23,8,25,21,31,20,735,23,10,51,30,9,0,9,32,36,38,0,48,56,15,131,57,12,26,19,45,71,8,9,51,5,80201,2,306,160
"Block Group 2, Census Tract 802.02, Alleghany County, Virginia",510050802022,134,0,8,10,0,0,0,0,0,11,0,0,24,16,7,11,0,12,11,17,7,0,0,0,274,18,32,23,6,0,33,0,0,8,0,0,26,31,10,35,9,10,14,0,13,6,0,0,51,5,80202,2,68,6
"Block Group 3, Census Tract 802.02, Alleghany County, Virginia",510050802023,353,0,44,44,0,0,0,0,0,30,0,0,38,23,13,30,0,2,0,41,72,0,16,0,297,17,0,24,0,0,0,0,0,14,28,38,10,0,27,0,0,11,16,40,29,23,19,1,51,5,80202,3,257,59
"Block Group 2, Census Tract 4152, Fairfax County, Virginia",510594152002,289,3,9,33,31,0,0,0,0,21,0,0,4,9,36,24,43,0,27,9,10,0,6,24,404,0,0,0,0,0,0,0,0,102,18,0,23,42,11,65,8,27,0,16,0,34,50,8,51,59,415200,2,184,122
"Block Group 3, Census Tract 4152, Fairfax County, Virginia",510594152003,283,9,0,21,0,0,0,0,0,0,49,44,27,10,61,23,7,19,0,6,0,7,0,0,599,0,46,10,9,0,0,0,54,10,109,24,82,0,35,16,9,40,14,37,34,47,23,0,51,59,415200,3,168,77
"Block Group 4, Census Tract 4152, Fairfax County, Virginia",510594152004,367,3,35,0,0,0,0,0,65,17,28,14,53,8,8,23,0,31,7,41,12,14,0,8,321,17,30,21,0,9,0,0,12,27,9,39,23,18,22,15,0,31,6,6,13,23,0,0,51,59,415200,4,130,45
"Block Group 1, Census Tract 4153, Fairfax County, Virginia",510594153001,484,52,18,80,12,5,0,16,20,30,6,33,31,38,34,25,36,0,0,18,16,14,0,0,345,6,18,12,38,5,0,5,8,6,7,91,0,6,17,24,21,14,0,33,9,0,10,15,51,59,415300,1,115,39
"Block Group 2, Census Tract 4153, Fairfax County, Virginia",510594153002,733,27,59,36,13,0,17,0,23,44,89,43,44,0,47,55,17,68,13,25,8,8,56,41,934,106,43,8,16,18,0,9,10,6,105,17,24,14,49,61,16,53,17,8,21,21,36,276,51,59,415300,2,530,438
"Block Group 3, Census Tract 4153, Fairfax County, Virginia",510594153003,485,43,22,21,8,0,0,0,14,56,38,24,80,69,37,0,0,19,18,9,18,9,0,0,995,41,64,52,33,0,0,46,0,50,89,107,64,142,43,46,99,15,18,26,0,35,17,8,51,59,415300,3,158,69
"Block Group 1, Census Tract 4154.01, Fairfax County, Virginia",510594154011,569,26,44,48,44,0,6,0,0,14,65,67,59,26,51,0,4,54,19,11,1,0,5,25,728,38,104,49,0,2,0,0,91,2,68,61,65,17,38,84,46,0,6,29,0,0,2,26,51,59,415401,1,124,58
"Block Group 2, Census Tract 4154.01, Fairfax County, Virginia",510594154012,2156,173,195,103,662,46,0,0,17,257,157,35,121,260,0,25,0,44,61,0,0,0,0,0,2222,579,80,34,0,0,14,0,69,287,336,120,84,184,12,119,175,0,0,0,91,0,0,38,51,59,415401,2,190,38
"Block Group 3, Census Tract 4154.01, Fairfax County, Virginia",510594154013,172,0,0,0,0,0,0,62,0,0,0,0,2,25,0,71,0,1,0,0,0,0,11,0,258,25,0,24,55,0,0,0,0,0,0,22,47,0,0,0,10,0,0,0,0,32,43,0,51,59,415401,3,86,86
"Block Group 2, Census Tract 4154.02, Fairfax County, Virginia",510594154022,468,33,13,22,6,0,0,0,33,0,0,9,45,35,20,41,9,10,0,21,52,21,78,20,358,11,12,14,45,0,0,0,12,0,0,27,48,39,41,6,9,10,11,42,21,10,0,0,51,59,415402,2,276,129
"Block Group 3, Census Tract 4154.02, Fairfax County, Virginia",510594154023,596,8,0,23,38,0,32,0,19,74,92,29,11,7,27,84,0,109,0,0,10,0,33,0,564,11,71,0,92,0,0,15,0,9,56,54,8,36,16,80,13,27,12,10,8,32,0,14,51,59,415402,3,119,79
"Block Group 2, Census Tract 4155, Fairfax County, Virginia",510594155002,331,15,25,45,10,0,0,0,0,12,29,40,4,43,0,11,2,15,17,0,26,29,0,8,467,0,44,36,0,0,49,0,0,0,51,17,12,57,54,17,15,3,37,7,16,21,3,28,51,59,415500,2,192,89
"Block Group 3, Census Tract 4155, Fairfax County, Virginia",510594155003,895,112,79,69,24,0,0,0,25,0,0,53,96,186,64,41,30,20,12,13,31,16,16,8,964,0,62,49,44,18,0,26,17,0,40,33,86,71,83,37,0,9,14,12,98,145,73,47,51,59,415500,3,485,305
"Block Group 1, Census Tract 4156, Fairfax County, Virginia",510594156001,710,63,53,15,18,0,0,0,0,18,5,9,28,127,25,58,33,47,7,60,68,36,30,10,895,46,90,40,55,0,0,8,47,40,29,39,44,55,104,48,34,64,2,37,45,28,19,21,51,59,415600,1,363,144
"Block Group 2, Census Tract 4156, Fairfax County, Virginia",510594156002,556,20,17,25,24,23,1,15,41,1,1,0,36,30,39,51,40,38,10,28,26,24,35,31,531,15,35,25,33,0,0,0,0,13,0,13,20,54,52,87,27,13,17,8,39,32,7,41,51,59,415600,2,298,170
"Block Group 2, Census Tract 4157, Fairfax County, Virginia",510594157002,1314,77,140,187,34,52,0,20,25,35,54,52,101,127,104,75,28,14,30,25,9,91,19,15,1253,137,74,112,90,23,0,0,36,26,80,107,88,118,90,38,27,36,0,21,67,49,20,14,51,59,415700,2,360,208
"Block Group 1, Census Tract 4158, Fairfax County, Virginia",510594158001,788,26,18,43,31,30,0,0,26,9,31,14,37,138,156,45,46,0,0,9,34,22,64,9,623,32,35,33,4,9,0,28,5,0,26,21,39,49,75,49,7,33,20,17,27,73,32,9,51,59,415800,1,316,209
